institution,programme_name,path_codes,spring_intake,start_month,start_date_verbatim,intakes_per_year,other_intakes,application_deadline_for_spring_intake,official_status,ruct_code,modality,language_of_instruction,tuition_total_eur,url,evidence_verbatim,notes,_verdicts_seen,_disagreement,_slices,_times_checked
Universidad a Distancia de Madrid (UDIMA),Máster Universitario en Análisis de Datos para la Gestión Empresarial,AB | X,YES (institution-level rule; exact date NOT FOUND),"NOT FOUND — second semester (February inferred from UDIMA's exam calendar, not published as a start date)",Programme page: 'Inicio Sept. 2026'. No spring date is printed. The spring start is established only by the Reglamento: 'habrá dos plazos generales de matriculación: uno para iniciar los estudios en el primer semestre y otro para iniciarlos en el segundo semestre.',"2 (one per semester, for all official UDIMA titles)",Autumn: 'Inicio Sept. 2026',NOT FOUND as a date. Rule only: 'El plazo de matrícula finalizará la semana anterior al comienzo del semestre.',máster universitario (OFFICIAL) — page states 'Informe favorable de la Fundación para el Conocimiento Madri+d con fecha 12/03/2025 en trámite de inscripción en el Registro'; RUCT 3500771 recorded in wave-2 verified.jsonl,3500771,100% Online,castellano (not separately re-verified in this pass),NOT FOUND — no price shown on the programme page,https://www.udima.es/master-universitario-analisis-de-datos-para-la-gestion-empresarial,"UDIMA Reglamento de acceso y admisión (versión septiembre 2023), Disposiciones Adicionales, Primera — VERBATIM: 'Los plazos de matriculación son comunes para todas las titulaciones oficiales de la UDIMA, y serán establecidos en cada semestre del curso académico correspondiente. Con carácter general, habrá dos plazos generales de matriculación: uno para iniciar los estudios en el primer semestre y otro para iniciarlos en el segundo semestre.' Also art. on matrícula: 'el interesado deberá formalizar la matrícula dentro de los plazos establecidos por la UDIMA en cada semestre del curso académico correspondiente.' Cómo Matricularse, step 05 — VERBATIM: 'Matrícula abierta hasta una semana antes del semestre. El plazo de matrícula finalizará la semana anterior al comienzo del semestre.' Programme page header — VERBATIM: 'Inicio Sept. 2026| Duración 1 curso | Créditos 60 ECTs | Metodología 100% Online'.","VERDICT: YES at institution level, but the exact spring date is NOT PUBLISHED. UDIMA's own admission regulation is explicit that the second window exists in order to START studies, not merely to enrol in second-semester subjects — the wording is 'uno para INICIAR los estudios en el primer semestre y otro para INICIARLOS en el segundo semestre', and it applies 'para todas las titulaciones oficiales de la UDIMA'. That satisfies the brief's test for a genuine second cohort start. What is NOT published anywhere I could reach: the calendar date on which the second semester begins, and therefore the exact spring start date and its matriculation deadline. UDIMA has no public 'calendario académico' page (both plausible URLs 404) and the FAQ page is JS-rendered and did not yield the dates. The programme page advertises only 'Inicio Sept. 2026'. By UDIMA's own exam calendar the first semester's first convocatoria is in February and the second semester's is in July ('Primer semestre: Primera convocatoria: Febrero ... Segundo semestre: Primera convocatoria: Julio'), which places the second-semester teaching start in February — but that is an INFERENCE from the exam calendar, not a published start date, and is recorded as such rather than as a fact. ACTION FOR A HUMAN: ask UDIMA admissions for the second-semester start date and matriculation window for 2026-27 / 2027-28. Historic corroboration exists (UDIMA press notices titled 'Matrícula abierta para el segundo semestre en la UDIMA' and 'La UDIMA amplía su plazo de matrícula hasta el 6 de marzo') but those are dated 2019 and earlier and are not cited as current facts.",YES (INST,,online,1
Universidad a Distancia de Madrid (UDIMA),Máster Universitario en Inteligencia Artificial Aplicada a la Educación,AA,YES (institution-level rule; exact date NOT FOUND),"NOT FOUND — second semester (February inferred, not published)",Programme page: 'Inicio Sept. 2026'. Spring start established only by the Reglamento wording quoted in evidence_verbatim.,"2 (one per semester, for all official UDIMA titles)",Autumn: 'Inicio Sept. 2026',NOT FOUND as a date. Rule only: 'El plazo de matrícula finalizará la semana anterior al comienzo del semestre.',máster universitario (OFFICIAL),3500738,100% Online,castellano (not separately re-verified in this pass),NOT FOUND,https://www.udima.es/master-universitario-inteligencia-artificial-aplicada-educacion,"UDIMA Reglamento de acceso y admisión (versión septiembre 2023), Disposiciones Adicionales, Primera — VERBATIM: 'Los plazos de matriculación son comunes para todas las titulaciones oficiales de la UDIMA, y serán establecidos en cada semestre del curso académico correspondiente. Con carácter general, habrá dos plazos generales de matriculación: uno para iniciar los estudios en el primer semestre y otro para iniciarlos en el segundo semestre.' Also art. on matrícula: 'el interesado deberá formalizar la matrícula dentro de los plazos establecidos por la UDIMA en cada semestre del curso académico correspondiente.' Cómo Matricularse, step 05 — VERBATIM: 'Matrícula abierta hasta una semana antes del semestre. El plazo de matrícula finalizará la semana anterior al comienzo del semestre.' Programme page header — VERBATIM: 'Inicio Sept. 2026| Duración 1 curso | Créditos 60 ECTs | Metodología 100% Online'.","VERDICT: YES at institution level, but the exact spring date is NOT PUBLISHED. UDIMA's own admission regulation is explicit that the second window exists in order to START studies, not merely to enrol in second-semester subjects — the wording is 'uno para INICIAR los estudios en el primer semestre y otro para INICIARLOS en el segundo semestre', and it applies 'para todas las titulaciones oficiales de la UDIMA'. That satisfies the brief's test for a genuine second cohort start. What is NOT published anywhere I could reach: the calendar date on which the second semester begins, and therefore the exact spring start date and its matriculation deadline. UDIMA has no public 'calendario académico' page (both plausible URLs 404) and the FAQ page is JS-rendered and did not yield the dates. The programme page advertises only 'Inicio Sept. 2026'. By UDIMA's own exam calendar the first semester's first convocatoria is in February and the second semester's is in July ('Primer semestre: Primera convocatoria: Febrero ... Segundo semestre: Primera convocatoria: Julio'), which places the second-semester teaching start in February — but that is an INFERENCE from the exam calendar, not a published start date, and is recorded as such rather than as a fact. ACTION FOR A HUMAN: ask UDIMA admissions for the second-semester start date and matriculation window for 2026-27 / 2027-28. Historic corroboration exists (UDIMA press notices titled 'Matrícula abierta para el segundo semestre en la UDIMA' and 'La UDIMA amplía su plazo de matrícula hasta el 6 de marzo') but those are dated 2019 and earlier and are not cited as current facts. NOTE ON FIT: this is an education-sector AI master, not a technical AI/ML master; included because it is UDIMA's only AA-coded title.",YES (INST,,online,1
"Universidad Alfonso X el Sabio (UAX), Madrid — private university",Máster Universitario Online en Inteligencia Artificial / Online Master's Degree in Artificial Intelligence,AA,NO,October,Start October | Length Credits 9 months / 60 ECTS | Modality Online,1 (only an October start is published),none published,N/A — no spring intake,"máster universitario (official) — RUCT 4318348, 'Publicado en B.O.E.'",4318348,Online,NOT FOUND on the English page (page is the English mirror; official plan language not verified — do not infer English),NOT FOUND (page advertises only 'Up to 24% in financial assistance before 31 August'),https://www.uax.com/en/studies/master-s-in-artificial-intelligence,Start October  Length Credits 9 months / 60 ECTS  Modality Online  Faculty Business & Tech  Exams Online and/or face-to-face,"The programme fact-box prints a single 'Start' value, October. No February/January/April cohort is advertised anywhere on the page. Official status confirmed locally from RUCT (output/ruct-detail.jsonl, code 4318348, estado 'Publicado en B.O.E.'), not from the marketing page. Aggregators (educaweb, aprendemas) likewise show only October.",NO,,path-AA,1
"Universidad Antonio de Nebrija, Madrid (private)",Máster Universitario en Organización y Dirección de Eventos,S,NO,October,"Programme page, verbatim: «De octubre a junio». No day-of-month start date is printed, and no second convocatoria of any kind is advertised — the only calendar shown is the single October-to-June academic year.","1 (October), on the evidence of the page",none published,N/A — no spring intake. The page says «Inscripciones abiertas» (rolling admission). ⚠️ Per the SPRING-BRIEF this is explicitly NOT a spring intake: rolling admission with a single autumn start does not count.,"MÁSTER UNIVERSITARIO (OFFICIAL) — RUCT 4317016, «Máster Universitario en Organización y Dirección de Eventos por la Universidad Antonio de Nebrija», estado «Publicado en B.O.E. (TITULACIÓN RENOVADA)». The RUCT code is NOT printed on the programme page; confirmed from the register, not from the page.",4317016,"«Presencial, Online» — both modalities run the same October-to-June calendar",«Español» — explicit «Idioma de impartición» field on the page,"EUR 9,200 presencial / EUR 5,260 online — verbatim «Presencial: 9.200 € / Online: 5.260 €», for 60 ECTS. Rates as published 2026-08-29; the page does not state which academic year they apply to, so treat the year as unconfirmed.",https://www.nebrija.com/programas-postgrado/master/organizacion-de-eventos/,"De octubre a junio — 60 ECTS — Modalidad: Presencial, Online — Idioma: Español — Presencial: 9.200 € / Online: 5.260 €","Rolling year-round enrolment («Inscripciones abiertas») is the thing most likely to be misread as a spring intake here; it is not one. Spanish-only, which is a hard filter at A0/A1.",NO,,path-S,1
Universidad Autónoma de Madrid (UAM),"INSTITUTION-WIDE calendar record — UAM másteres universitarios (in-scope: Ciencia de Datos; Aprendizaje Profundo para el Tratamiento de Señales de Audio, Imagen y Vídeo; Sistemas Interactivos Inteligentes; Bioinformática)",A | B | AA | AB,NO,September,"Three admission periods for curso 2026-27, all feeding one autumn cohort: «Primer plazo: del 4 de febrero al 8 de abril de 2026»; «Plazo anticipado: del 4 de junio al 1 de septiembre de 2026»; «Segundo plazo: del 18 de junio al 1 de septiembre de 2026».",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Campus de Cantoblanco, Madrid",varies by title,Comunidad de Madrid public rates; UAM applies a confirmed non-EU surcharge (per AGENT-BRIEF),https://www.uam.es/uam/en/posgrado/admision,«Primer plazo: del 4 de febrero al 8 de abril de 2026» — an application window opening in February for the following September's cohort,"⚠️ NAMED TRAP, EXCLUDED. UAM's FIRST admission period opens 4 February. That is an application window opening in spring for an autumn start — explicitly listed by the brief as not counting. All three periods close by 1 September 2026 and resolve into the single curso 2026-27 cohort. No second-semester admission route is published. Recorded NO. Of note by contrast: UPM, in the same city, DOES publish a distinct second preinscripción period for second-semester teaching starts — so this is not a Madrid-wide rule, it is university by university.",NO,,public,1
Universidad Autónoma de Madrid (UAM) — Escuela Politécnica Superior,"Máster Universitario en Aprendizaje Profundo para el Tratamiento de Señales de Audio, Imagen y Vídeo (Deep Learning for Audio and Visual Artificial Intelligence)",B | A | AA,NO,September,"No programme-level start date could be fetched. Institution-level, verbatim from UAM's postgraduate admission page: 'Primer plazo: del 4 de febrero al 8 de abril de 2026'; 'Plazo anticipado: del 4 de junio al 1 de septiembre de 2026'; 'Segundo plazo: del 18 de junio al 1 de septiembre de 2026' — three application periods, all closing by 1 September 2026 and all feeding the single curso 2026-27 cohort.",1,none,N/A — no spring intake,máster universitario (OFFICIAL) — RUCT 4317140,4317140,"presencial, Campus de Cantoblanco, Madrid",NOT VERIFIED in this pass — do not infer from the English page title 'Deep Learning for Audio and Visual Artificial Intelligence',NOT FOUND in this pass — Comunidad de Madrid public rates; UAM applies a confirmed non-EU surcharge,https://www.uam.es/uam/en/posgrado/admision,"Primer plazo: del 4 de febrero al 8 de abril de 2026 — an application window opening in February for the FOLLOWING September's cohort, not a February start.","This is the anchor the orchestrator named (RUCT 4317140) and it is the strongest audio-AI master outside UPF. Answer: no spring cohort. ⚠️ THE FEBRUARY TRAP IS LIVE HERE AND WOULD BE EASY TO MIS-RECORD: UAM's first admission period opens 4 February, which reads like a February intake in aggregator listings. It is an application window opening in spring for an autumn start — the SPRING-BRIEF excludes exactly this. ⚠️ FETCH NOTE: both https://www.uam.es/uam/estudios/master-oficial/aprendizaje-profundo-tratamiento-senales-audio-video and its /en/ counterpart returned a 576-byte empty shell to curl with a browser UA (JS-rendered or moved), so no programme-level page was read; the calendar above is UAM-wide and is taken from the institution-level record already established in output/spring/public.jsonl. A human should open the programme page to confirm it inherits the UAM-wide calendar rather than running its own.",NO,,path-B,1
"Universidad Autónoma de Madrid (UAM) — Spanish partner hosting Semester 2; consortium coordinated from Université de Bordeaux, with Pázmány Péter Catholic University Budapest (PPKE)",IPCVai — Erasmus Mundus Joint Master in Artificial Intelligence for Image Processing and Computer Vision,AA,NO,September (autumn) — entry is Semester 1 at PPKE Budapest. No explicit start-date line is published on ipcv.eu; the autumn start is established by the 'by the summer before the program starts' admission rule and the two-year cohort labelling.,"Programme structure: 'The 1st semester at PPKE Budapest provides all students with fundamental leveraging knowledge...'; 'The 2nd semester at UAM Madrid deepens the knowledge in visual signal processing and machine/deep learning'. Admission criteria: candidates must 'Hold a Bachelor degree or equivalent in computer science, engineering, mathematics or physics, by the summer before the program starts.' Cohorts are labelled by two-year span: '2024 – 2026 cohort', '2025 – 2027 cohort'.",1,"None. IMPORTANT NUANCE, and exactly the case the brief asked to look for: the SPANISH leg (Semester 2 at UAM Madrid) does begin in the spring semester, roughly February–June. That is a mobility leg, NOT an admission point — you cannot enter the programme at UAM in February. Recorded as NO.",N/A — no spring intake,"máster universitario (Erasmus Mundus Joint Master, official in Spain; RUCT estado 'Publicado en B.O.E.', active)",3500514,presencial; 120 ECTS over four semesters in three countries,"English ('Fully taught in English'; B2 English required, IELTS 6.5 / TOEFL 90)","NOT FOUND on ipcv.eu for EU vs non-EU self-funded participation costs. Erasmus Mundus scholarship holders pay nothing and receive EUR 1,400/month for 24 months (EUR 33,600).",https://ipcv.eu/application-and-selection/application/,"Application deadline page (29 Aug 2026): 'Application deadline — NEW SELF-FUNDING CALL: Dates: 9 March – 7 April, 2026 (at noon – Paris time)'. No 2027 dates and no Erasmus Mundus scholarship round are currently listed.","SEPTEMBER-2027 DEADLINE: NOT PUBLISHED. Only the 2026 self-funding call (9 March – 7 April 2026) is on the site; the Erasmus Mundus SCHOLARSHIP round is not currently listed at all. A previous cycle used 4 February 2024, 23:55 CET, i.e. the scholarship round closes in EARLY FEBRUARY of the year of entry — for a September 2027 start expect roughly early February 2027. TREAT AS PATTERN, NOT A PUBLISHED DATE; re-check from October 2026. Applications go through Bordeaux (emundus-ipcv.u-bordeaux.fr, application-ipcv@u-bordeaux.fr), NOT UAM. Entry bar is a 180-ECTS first degree, so a 300-ECTS Software Engineering degree clears it comfortably. PATH FIT: computer vision / image processing only — no audio, music or acoustics content (AA only).",NO,,erasmus-mundus,1
Universidad Camilo José Cela (UCJC),"Máster en Dirección de Protocolo, Producción, Organización y Diseño de Eventos",S,NOT FOUND,NOT FOUND,"NOT FOUND — could not read the primary page. An aggregator-level search summary asserted «two intake periods per year - one in October and one in February for the distance modality», but that is an aggregator claim and under rule 1 cannot be used to state a fact.",NOT FOUND,NOT FOUND,NOT FOUND,NOT VERIFIED IN THIS SWEEP,,NOT FOUND,NOT FOUND,NOT FOUND,https://www.ucjc.edu/master/direccion-protocolo-produccion-organizacion-diseno-eventos/,,"BLOCKED. www.ucjc.edu returned HTTP 202 with a 239-byte challenge shell on four consecutive curl attempts with a full browser User-Agent, Accept/Accept-Language headers and a persistent cookie jar; WebFetch returned empty. The AGENT-BRIEF says a UA retry yields 200 — that did not reproduce here today. NEEDS A HUMAN TO OPEN IN A NORMAL BROWSER. Not counted as a new find: UCJC is already among the 93 institutions in output/programmes.jsonl and SPRING-BRIEF already names 'UCJC's February online intake' as a known example, so this is a coverage gap for the institution-list slices, not a discovery of mine.",NOT FOUND,,national-sweep,1
Universidad Camilo José Cela (UCJC),Máster Universitario en Ciencia de Datos,AB | AA,NOT FOUND,"NOT FOUND (October indicated by aggregator only, unverified)","NOT FOUND — the programme page could not be retrieved. The only October evidence available is an aggregator page title («Máster Universitario en Ciencia de Datos Online, Octubre 2026», mastermania), which under the brief's rules may be used for DISCOVERY only and is NOT recorded as a fact.",NOT FOUND,NOT FOUND,NOT FOUND,máster universitario (OFFICIAL) — RUCT 4317680,4317680,online (per the programme's own page title as indexed: «Máster en Data Science Online | UCJC»),"NOT FOUND (Spanish presumed from the Spanish-language title, not verified verbatim)",NOT FOUND — UCJC publishes a per-programme sheet at https://www.ucjc.edu/pdfs/estudios/master_universitario_ciencia_de_datos.pdf («Precios 2025-26 v.1 Mayo 2025») but it is behind the same block.,https://www.ucjc.edu/estudio/master-universitario-en-ciencia-de-datos/,,"CHECKED, NOT RESOLVED — recorded as NOT FOUND, not NO. ⚠️ CORRECTION TO THE AGENT-BRIEF: the brief states ucjc.edu is not blocked and that «a retry with a browser User-Agent returns 200 with the full body». That did NOT reproduce on 2026-08-29. www.ucjc.edu, calidad.ucjc.edu and the partner site cuhmucjc.com all return HTTP 202 with a SiteGround anti-bot shell («/.well-known/sgcaptcha/») to curl with a full browser User-Agent, on repeated retries, and WebFetch returns empty. The challenge is a JS proof-of-work bound to the client IP; I did not attempt to defeat it. Searches for a UCJC data-science February or second convocatoria returned nothing, so there is no positive evidence of a spring intake here — but equally no page-level confirmation of a single October intake. NEEDS A HUMAN with a normal browser. NOTE the contrast: UCJC's two OTHER in-scope masters both DO have February online cohorts, so a spring intake on this one cannot be ruled out.",NOT FOUND,,privates,1
"Universidad Camilo José Cela (UCJC), Madrid","Máster Universitario en Dirección de Protocolo, Producción, Organización y Diseño de Eventos",S,NOT FOUND,February (distance/online mode only) — provisional; October is the main start for both modes,"From output/verified.jsonl, quoted there as read from the UCJC programme page on 2026-08-25: 'Inicio: Octubre', plazas line 'Modalidad Presencial 60 por curso'; 'Modalidad a Distancia 60 por curso (octubre) y 60 por curso (febrero)' — i.e. the DISTANCE mode runs a second, February cohort with its own 60 places.",2 for the distance mode (October and February); 1 for the presencial mode (October) — provisional,October,NOT FOUND — UCJC publishes no application open/close dates for any year; admission is rolling.,máster universitario (OFFICIAL) — RUCT 4312968,4312968,"presencial (Campus Castellana, Madrid) OR a distancia / online. The February cohort exists only in the distance mode.",Castellano (Spanish),NOT FOUND in this pass,https://www.ucjc.edu/master/direccion-protocolo-produccion-organizacion-diseno-eventos/,'Modalidad Presencial 60 por curso' / 'Modalidad a Distancia 60 por curso (octubre) y 60 por curso (febrero)',"Candidate hit came from output/verified.jsonl (modality field: 'the online mode has a SECOND, February intake, unusual and worth noting'). Per this slice's rule — a hit that cannot be confirmed on the live source is NOT FOUND, not YES — spring_intake is recorded as NOT FOUND and the near-certain answer is carried in spring_intake_provisional. NEEDS A HUMAN to open the page in a normal browser; if confirmed this is the only official (máster universitario) events-management degree found with a February cohort, which makes it materially valuable for path S.",NOT FOUND,,from-dataset,1
Universidad Carlos III de Madrid (UC3M),Másteres universitarios — «edición de marzo»,,NO,September,"The only March reference on the postgraduate admission page is «EDICIÓN SEPTIEMBRE (INDIVIDUAL) + DOBLES MÁSTERES COMBINADOS CON AMBAS EDICIONES (MARZO Y SEPTIEMBRE)», in the section for the Máster en Acceso a la Abogacía y Procura.",1 for the fields in scope,,N/A,máster universitario oficial,,,,,https://www.uc3m.es/postgrado/admision/proceso,EDICIÓN SEPTIEMBRE (INDIVIDUAL) + DOBLES MÁSTERES COMBINADOS CON AMBAS EDICIONES (MARZO Y SEPTIEMBRE),"TRAP CAUGHT. A search summary reported that «UC3M offers master's programs with a March edition in addition to a September edition». The primary page shows the March/September 'ediciones' are ADMISSION CYCLES attached to the Abogacía double-master combinations, not class starts, and no master in the nine fields is stated to start in March. Recorded NO. UC3M is already among the 93 covered institutions.",NO,,national-sweep,1
Universidad Carlos III de Madrid (UC3M),Máster de Formación Permanente en Industria Musical y Estudios Sonoros (MIMES),P | S | A,NO,September,Inicio: 15 de septiembre de 2026 — Final: Lecturas de TFM hasta el 30 de septiembre,1,None found — a single annual September edition,N/A — no spring intake. Plazo de admisión for the 2026-27 September edition shows 'CERRADO'.,"título propio (Máster de Formación Permanente — the post-RD 822/2021 legal name for a título propio; NOT ANECA-verified, no PhD access)",,"Presencial (Campus Puerta de Toledo, Madrid; lunes a jueves 17:00–20:15)",Español,"EUR 5,900 (tasa de matrícula, 2026-27 edition as published)",https://www.uc3m.es/formacion-permanente/industria-musical-estudios-sonoros,'Inicio: 15 de septiembre de 2026' · 'Créditos 60' · 'Tasa de matrícula: 5.900 euros' · 'Español' · 'Presencial',"Single-cohort academic-year programme. Título propio, so no PhD access and generally ineligible for public scholarships — relevant to this candidate's funding-first ranking. Spanish-only teaching is a hard filter at A0/A1.",NO,,path-P,1
Universidad Carlos III de Madrid (UC3M),INSTITUTION-WIDE calendar record — UC3M másteres universitarios (in-scope: Estadística para la Ciencia de Datos; Métodos Analíticos para Datos Masivos/Big Data; Aprendizaje Automático para la Salud; Ingeniería de Telecomunicación; Ciencia y Tecnología Informática),C | AA | AB | AC,"NO for all in-scope titles (a March edition exists at UC3M but only for the Máster en Abogacía, which matches none of the nine path codes)",September,"Three ordinary admission periods for curso 2026-27, all resolving into the September cohort: «1 DICIEMBRE 2025 - 31 ENERO 2026» (resoluciones a partir del 27 de febrero de 2026); «1 FEBRERO 2026 - 31 MARZO 2026» (resoluciones a partir del 30 de abril de 2026); «1 ABRIL 2026 - 31 MAYO 2026» (resoluciones a partir del 23 de junio de 2026). UC3M's postgraduate academic calendar places teaching from early September to mid-December, with «las clases del segundo cuatrimestre» beginning end of January — a continuation of the same cohort's year, not a new entry.",1 for all in-scope titles,"none in scope. UC3M's admission page does list, for the Máster en Abogacía only: «EDICIÓN SEPTIEMBRE (INDIVIDUAL) + DOBLES MÁSTERES COMBINADOS CON AMBAS EDICIONES (MARZO Y SEPTIEMBRE)»",n/a — no spring intake in scope,máster universitario,n/a — institution-level calendar record,"presencial, Getafe / Leganés / Colmenarejo",several in-scope titles are English-taught,Comunidad de Madrid public rates; UC3M applies a confirmed non-EU surcharge (per AGENT-BRIEF),https://www.uc3m.es/postgrado/admision/proceso,"«EDICIÓN SEPTIEMBRE (INDIVIDUAL) + DOBLES MÁSTERES COMBINADOS CON AMBAS EDICIONES (MARZO Y SEPTIEMBRE)» — UC3M's only non-September edition, and it belongs to the Máster en Abogacía","Worth recording precisely because the near-miss is instructive. UC3M DOES operate the concept of an «edición» with a non-September start — a March edition — so the mechanism exists at this university. But it is confined to the Máster en Abogacía (law/bar qualification, driven by the professional-exam calendar), which is out of scope for all nine path codes. Every in-scope UC3M master runs on the three-period single-September-cohort calendar. Also excluded as a trap: the second ordinary period runs 1 February – 31 March, an application window, not a start. Recorded NO.",NO FOR AL,,public,1
Universidad Complutense de Madrid (UCM),INSTITUTION-WIDE calendar record — UCM másteres universitarios (in-scope: Ciencia de Datos e Inteligencia de Negocios; Ingeniería Informática; Nuevas Tecnologías Electrónicas y Fotónicas; Física; Tratamiento Estadístico Computacional de la Información),C | AA | AB | X,NO,September,"UCM «Plazos generales para admisión a másteres universitarios», curso 2026-2027 — PRIMER PERIODO ORDINARIO: solicitudes «Del 28 de enero al 20 de febrero», admitidos «A partir del 23 de marzo», matrícula «Del 29 de mayo al 5 de junio». SEGUNDO PERIODO ORDINARIO: solicitudes «Del 27 de abril al 22 de mayo», admitidos «A partir del 17 de junio», matrícula «Del 17 al 26 de junio», lista de espera «A lo largo del mes de julio». PERIODO EXTRAORDINARIO: solicitudes «Del 1 al 4 de septiembre», admitidos «A partir del 11 de septiembre», matrícula «Del 11 al 18 de septiembre».",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Madrid",mostly castellano,Comunidad de Madrid public rates,https://www.ucm.es/plazos-generales,«PERIODO EXTRAORDINARIO: Del 1 al 4 de septiembre — admitidos a partir del 11 de septiembre — matrícula del 11 al 18 de septiembre»,"⚠️ THE CONVOCATORIA EXTRAORDINARIA CASE, EXCLUDED AS INSTRUCTED. UCM's extraordinary period runs 1–4 September with enrolment 11–18 September — days before term. It fills the SAME autumn cohort; it is a late-admission valve, not a second start. Likewise the first ordinary period opening 28 January is an application window for the following autumn. UCM's own page carries no reference to any master beginning in the second semester. Recorded NO. Separate note: UCM also sells títulos propios through its Centro de Formación Permanente which can follow different calendars; this record covers the OFFICIAL másteres universitarios only, which is what the candidate needs for PhD access and public funding.",NO,,public,1
Universidad de Alicante (UA),INSTITUTION-WIDE calendar record — UA másteres universitarios (in-scope: Ingeniería Informática; Ciencia de Datos; Inteligencia Artificial; Automática y Robótica; Telecomunicación),AA | AB | AC | C,NO,September,"Official convocatoria published in the Boletín Oficial de la Universidad de Alicante, «CONVOCATORIA DE PREINSCRIPCIÓN EN ESTUDIOS DE MÁSTER UNIVERSITARIO PARA EL CURSO ACADÉMICO 2026-27»: ordinary period «del 16/03/2026 al 26/06/2026 hasta las 14 horas»; extraordinary period «a partir del 17/07/2026», activated only for programmes that have not filled their places. The convocatoria lists 65 masters and makes no distinction of start date for any of them.",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Alicante",mostly castellano/valencià,Comunitat Valenciana public rates,https://www.boua.ua.es/es/acuerdo/65441,Ordinary preinscripción «del 16/03/2026 al 26/06/2026 hasta las 14 horas»; extraordinary «a partir del 17/07/2026» for programmes with unfilled places,"⚠️ A FALSE POSITIVE I CHECKED AND REJECTED — worth recording so nobody re-checks it. A search-index summary described UA's second preinscripción period (17 July – 2 September 2026) as being «for those looking to start in the second semester». It is not. UA's own official convocatoria in the BOUA — the legally operative document — describes that window purely as an extraordinary period for programmes with unfilled places, and contains no reference at all to «segundo cuatrimestre» starts. The genuinely second-semester item in UA's calendar is «Students enrolled in official degree programs in 2026-2027 can add second semester courses to their enrollment on January 21-22, 2027», which is module addition by existing students — the excluded case. Recorded NO on the strength of the primary BOUA text over the search summary.",NO,,public,1
Universidad de Castilla-La Mancha (UCLM) — Escuela Superior de Informática (Ciudad Real) and Escuela Superior de Ingeniería Informática (Albacete),Máster Universitario en Big Data y Computación en la Nube (MUBDCN),AC | AB,NO,NOT STATED as a date; structurally autumn — matrícula closes 30 September 2026 for the 2026-27 course.,The MUBDCN microsite publishes exactly one annual cycle for curso 2026-2027: 'Preinscripción: 24 de marzo al 11 de septiembre de 2026' · 'Admisión: 24 de marzo al 18 de septiembre de 2026' · 'Matrícula: 23 de junio al 30 de septiembre de 2026'. '60 créditos ECTS repartidos en 1 curso académico'. No February and no second-semester entry is mentioned anywhere on the page.,1,none,N/A — no spring intake. (2026-27 autumn cycle: preinscripción closes 11/09/2026.),"máster universitario (OFFICIAL) — RUCT 3500731, estado 'Publicado en B.O.E.', Máster RD 822/2021, MECES 3, rama Ingeniería y Arquitectura, campo Ingeniería informática y de sistemas, verificación 26/05/2025, BOE 01/10/2025 and 20/10/2025. A new title, first taught 2025/26.",3500731,"virtual — 'Modalidad virtual, sin necesidad de presencialidad en la mayor parte de sesiones'; mix of synchronous online sessions and asynchronous work; in-person attendance only for the TFM defence.",NOT FOUND — not stated on the MUBDCN microsite.,NOT FOUND — not published on the microsite.,https://esi.uclm.es/mubdcn/,'Preinscripción: 24 de marzo al 11 de septiembre de 2026' · 'Admisión: 24 de marzo al 18 de septiembre de 2026' · 'Matrícula: 23 de junio al 30 de septiembre de 2026' · '60 créditos ECTS repartidos en 1 curso académico',"The brief's carried note that UCLM preinscription read 'cerrada por plazas cubiertas' refers to an earlier cycle; as at access date the 2026-27 window is published as open from 24/03/2026. ⚠️ The March start of the PREINSCRIPTION window is precisely the pattern the spring brief warns against — it is an application window opening in spring, NOT a spring cohort start. Confirms the shared brief's subdomain guidance: www.uclm.es 403s but esi.uclm.es serves normally (both the MUBDCN microsite and the ESI news post fetched fine). ESI's sibling masters MUII (Ingeniería Informática, 90 ECTS, virtual) and MUIA (Inteligencia Artificial, 60 ECTS, virtual) share the same single 24/03–11/09/2026 preinscription window, so the NO verdict is school-wide, not title-specific. RUCT credits: 60 = 48 obligatorios + 6 optativos + 6 TFM; complementos formativos NOT PUBLISHED IN RUCT.",NO,,path-AC,1
