Program,University,Country,Region,Track,Funding,Fit score,Admission difficulty,Why (difficulty),Language,Portfolio?,Tunisian eligible?,Verified,Deadline status,Scholarship,Stipend / coverage,Tuition (intl),Application opens,Deadline,Fit notes,Source URL,Multi-country?,Entry requirements,Public/Private,All countries (raw),Funding detail (raw),Verification notes
"GREAT Scholarships (GBP 10,000 toward a one-year taught master's at 60+ UK universities)",British Council + participating UK universities,United Kingdom,Europe,Sound & Music Tech,Partial,68,Red,Tunisian nationals not eligible,English,No,No,Verified,Not published,GREAT Scholarships 2026-27,"GBP 10,000 toward tuition fees (140+ scholarships across 60+ universities in 2026-27)",N/A,Varies by university (2026-27 round underway),Varies by university; 2027-28 country list not yet published - re-check in case Tunisia is added,"CONFIRMED NOT ELIGIBLE: Tunisia is absent from the official 2026-27 list of 18 eligible countries (Bangladesh, China, Egypt, France, Ghana, Greece, India, Indonesia, Italy, Kenya, Malaysia, Mexico, Nigeria, Pakistan, Spain, Thailand, Turkey, Vietnam) - Egypt remains the only MENA entry. Keep only as a 2027-28 re-check item",https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,No,Passport holder/permanent resident of a listed eligible country with an offer for a one-year taught postgraduate course at a participating UK university,Consortium,United Kingdom,Partial,"Official British Council page fetched 12 Jul 2026. Correction to draft: the 2026-27 list has 18 countries, not 15 - France, Greece and Italy are also included - but Tunisia is still absent, so the not-eligible verdict stands. Deadlines are set per participating university"
MA Music Business Management,"University of Westminster, London",United Kingdom,Europe,Music Business,Partial,68,Amber,GPA threshold — check against your transcript,English,No,Yes,Verified,Confirm 2027 date,"International Postgraduate Excellence Award (GBP 3,000)","GBP 3,000 International Postgraduate Excellence Award (tuition-fee reduction only; cannot offset the GBP 5,500 CAS deposit); Richard Antwi Scholarship on course page is Home-fee only, not applicable","GBP 16,000/year (official 2026-27 course page; aggregator's GBP 15,000 was wrong)",Rolling applications; September 2026 and September 2027 intakes both listed on official course page,Course: rolling (see How to apply page). International Postgraduate Excellence Award: 26 June 2026 for Sept 2026 start (PASSED); Sept 2027 round not yet published - PRIOR CYCLE - confirm new date,Confirmed strong music-business MA fit for DJ/producer career; software-engineering degree meets the 2:2+ bar; IELTS is the actionable gap,https://www.westminster.ac.uk/music-courses/2026-27/september/full-time/music-business-management-ma,No,"2:1 or 2:2 honours degree; personal statement showing understanding of the course; IELTS 6.0 (min 5.5 speaking and writing) at application, 6.5 (min 6.0 writing) by course start - candidate has NOT yet taken IELTS",Public,United Kingdom,Partial,"Official course page confirms program, both Sept 2026 and Sept 2027 intakes, GBP 16,000 intl fee, and entry/IELTS requirements. Excellence Award page confirms GBP 3,000, open to overseas-fee students of any nationality, min UK-equivalent good 2.1; but its published deadline (26 Jun 2026) was for Sept 2026 and has passed - Sept 2027 cycle dates not yet published. Prior record's '30 Nov 2026 / Jan 2027 intake' deadline not found on the official award page. No full scholarship found for this program."
"Postgraduate Study Awards (up to GBP 5,000 toward postgraduate music performance degrees - MMus, MA, PGDip, Artist Diploma - at 11 UK conservatoires/performing-arts colleges)",Help Musicians (UK charity),United Kingdom,Europe,Sound & Music Tech,Partial,68,Red,Tunisian nationals not eligible,English,Yes,No,Verified,Confirm 2027 date,Help Musicians Postgraduate Study Awards,"Up to GBP 5,000 toward study and living costs for the academic year",N/A,PRIOR CYCLE - confirm new date (2026 applications closed; page states 2027 details forthcoming),PRIOR CYCLE - confirm new date (annual cycle for Sept-start courses; 2026 auditions were 7-17 April in London),"CONFIRMED NOT ELIGIBLE now: 3-year UK lived-and-studied residency requirement rules him out, and the scheme funds performance degrees (instrumental/vocal/MT), not production or music-tech - so even after 3 UK years it would only fit a performance qualification. Keep only as a documented future re-check",https://www.helpmusicians.org.uk/get-support/develop-as-a-musician/support-your-studies,No,"Must currently live in the UK with legal right to live/work, have lived AND studied in the UK for at least 3 years, be 18+, hold a UK bank account, savings under GBP 10,000, no Help Musicians student support in past 2 years; postgraduate music PERFORMANCE degree (instrumental, musical theatre, opera/vocal) at one of 11 named conservatoires; musical potential assessed via audition",Private,United Kingdom,Partial,"Official page fetched 12 Jul 2026: confirms GBP 5,000 cap, 3-year UK lived-and-studied requirement, right to live/work + current UK residence, savings cap GBP 10k, 11 eligible conservatoires (RAM, Guildhall, RCM, etc.), performance-degree scope. 2026 round closed with 2027 details 'forthcoming' - deadline flagged PRIOR CYCLE. Additional caveat vs draft: scheme covers performance degrees only, further limiting future relevance for a production/DJ track"
Australia Awards Scholarships — funding scheme,Australian Government (DFAT),Australia,Asia-Pacific,Business / MBA,Full,66,Red,Tunisian nationals not eligible,English,No,No,Partial,Date published,Australia Awards Scholarships,Full tuition + travel + establishment allowance + stipend + OSHC (for eligible countries only),N/A (full scholarship),N/A for this candidate,N/A for this candidate,"NOT available to Tunisians — Tunisia is absent from the DFAT participating-countries list (neighbouring Algeria, Morocco and Egypt are included). Rule out for this candidate.",https://www.dfat.gov.au/people-to-people/australia-awards/participating-countries,No,"Restricted to listed partner countries. Africa list for the 2027 intake includes Algeria, Egypt, Morocco and ~22 Sub-Saharan states — Tunisia is NOT on the participating-countries list",Consortium,Australia,Full,"DFAT pages returned HTTP 503 to direct fetch (bot-blocked), so the list could not be read on-page. However, search results drawn from dfat.gov.au and the official Australia Awards Africa 2027-intake documents confirm the Africa participating list (Algeria, Angola, Botswana, Cote d'Ivoire, DRC, Egypt, Ethiopia, Gambia, Ghana, Guinea, Kenya, Madagascar, Malawi, Mauritius, Morocco, Mozambique, Namibia, Nigeria, Rwanda, Sierra Leone, South Africa, Tanzania, Uganda, Zambia, Zimbabwe) and Tunisia is not on it. Rule-out for a Tunisian national is solid; marked Partial only because the official page itself was unreachable."
MSc in Engineering Acoustics (also available as Acoustics specialisation in MSc Electrical Engineering),Technical University of Denmark (DTU),Denmark,Europe,Acoustics / Audio Eng,Partial,66,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,DTU tuition fee waivers for international non-EU/EEA MSc students (Autumn intake only; merit-based; separate personal statement focusing on bachelor-level academic achievement required with application; granted after accepting an admission offer),Tuition waiver only - no living stipend (confirmed on DTU tuition_fee_waivers page),"EUR 7,500/semester = EUR 30,000 for the 2-year MSc (confirmed on DTU fees-and-funding pages)",UNVERIFIED (typically mid-September; DTU important-dates page returned 404 - confirm on dtu.dk),"PRIOR CYCLE - confirm new date (15 January is DTU's standing non-EU deadline to be considered for the tuition waiver, confirmed on official waiver page)","Strong engineering-side option (audio industry pipeline: Demant, B&O, Bruel & Kjaer, hearing-aid industry, plus consulting: Ramboll/COWI/Sweco - confirmed on programme page); software engineering background fits, but it is acoustics/DSP rather than music production.",https://www.dtu.dk/english/education/graduate/msc-programmes/engineering-acoustics,No,"BSc in engineering, physics or mathematics; five specialisations confirmed on programme page: Audio & Transducer Technology, Hearing Science & Perception, Architectural Acoustics & Environment, Vibration Structures & Sound, Signal Processing & Machine Learning; joint programme with KAIST and Industry Master's option exist; English test required (Check scores)",Public,Denmark,"Partial (tuition waiver, competitive)","Programme confirmed on official DTU page including specialisations and industry pipeline. Tuition EUR 7,500/semester and tuition-fee-waiver scheme (non-EU, Autumn intake only, merit-based with separate personal statement, 15 January deadline) confirmed on official DTU fees-and-funding/tuition_fee_waivers pages. Waiver covers tuition only - no stipend. Application-open date could not be confirmed (dates page 404); English-instruction is DTU-wide standard but was not restated on the fetched programme page."
"Acoustics and Audio Technology, MSc (Technology)",Aalto University,Finland,Europe,Acoustics / Audio Eng,Partial,66,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Yes,Verified,Confirm 2027 date,"Aalto University Scholarship Programme (tuition-fee waiver, competitive)",Confirmed on program page: small number of tuition-fee waivers for top fee-paying applicants; NO stipend / living-cost support,"EUR 17,000 / academic year (non-EU/EEA) — confirmed on official page (corrects earlier ~EUR 15,000 estimate)",~1 December (annually),PRIOR CYCLE - confirm new date; last window 1 Dec 2025 – 2 Jan 2026. Next round for Sept-2027 expected ~Dec 2026 – early Jan 2027,"Engineering-side audio track leveraging the CS/software degree; no portfolio needed. CAUTION: confirmed prerequisites include physics, Fourier analysis, DSP and ML coursework — a software-engineering transcript may need to evidence these explicitly.",https://www.aalto.fi/en/study-options/acoustics-and-audio-technology-master-of-science-technology,No,"Bachelor's in electrical/communications/audio engineering, media technology or related; required university-level background: math (linear algebra, Fourier analysis, probability/statistics), physics, digital signal processing, machine learning, programming. Motivation letter + CV; recommendation letters optional. English test required. 120 ECTS / 2 yrs.",Public,Finland,Partial,"Confirmed on official page: program exists, English-taught, EUR 17,000/yr non-EU fee (tuitionIntl corrected from UNVERIFIED ~15k), waiver-only scholarship, no portfolio, detailed technical prerequisites (math/physics/DSP/ML/programming), application window 1 Dec 2025 – 2 Jan 2026 (prior cycle). Entry-requirements field updated with the confirmed prerequisite list."
"Acoustics and Audio Technology, MSc (Technology) - Computer, Communication and Information Sciences",Aalto University (Espoo/Helsinki),Finland,Europe,Acoustics / Audio Eng,Partial,66,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Yes,Verified,Confirm 2027 date,"Aalto University Scholarship - tuition fee waiver for top-achieving fee-paying applicants, applied for within the admission application - CONFIRMED (small number awarded)",Tuition fee waiver only (page states 'small number of' waivers to top applicants; specific percentage NOT stated on this programme page - Aalto's general scheme grants 50% or 100% waivers - verify); no living-cost scholarship (~EUR 800+/month self-funded),"EUR 17,000 per year (non-EU/EEA) - CONFIRMED; EU/EEA/Swiss citizens pay no tuition",~1 December (annual) - CONFIRMED (opened 1 Dec 2025 for 2026 intake),PRIOR CYCLE - 1 Dec 2025 to 2 Jan 2026 for the 2026 intake (confirmed dates for that cycle). For Sept 2027 expect ~1 Dec 2026 - early Jan 2027 - confirm,"Best technical-audio fit in the slice: DSP/programming/ML-centric where the software-engineering degree is a direct asset (CS/SW likely qualifies as a 'related field'); world-class acoustics lab; tuition waiver realistically attainable for strong technical applicants, but only tuition is covered - EUR 17k tuition waivable, living costs self-funded; note this is an engineering/acoustics track, not a DJ/production programme",https://www.aalto.fi/en/study-options/acoustics-and-audio-technology-master-of-science-technology,No,"Bachelor's in electrical engineering, communications engineering, audio engineering, media technology or RELATED field; required coursework: linear algebra, Fourier analysis, probability/statistics, physics, DSP, machine learning, and programming skills; English test per Aalto general requirements - CONFIRMED",Public,Finland,Partial (tuition fee waiver possible for top applicants; no living-cost support),"Confirmed on official Aalto page: English-taught MSc (Technology); non-EU tuition EUR 17,000/yr; Aalto grants a small number of tuition-fee-waiver scholarships to top fee-paying applicants (applied within admission) - no living-cost support; application window opened 1 Dec 2025, closed 2 Jan 2026 (2026 intake = prior cycle); bachelor in EE/comms/audio/media-tech/related with maths/DSP/ML/programming coursework; motivation letter + CV, no portfolio. Correction: waiver percentage (prior 'up to 100%') NOT stated on this programme page - Aalto's scheme is typically 50% or 100%, verify at application time. 2027-intake dates not yet published (July 2026)."
Master's Degree Programme in Economics and Business Administration (+ Hanken Premium Scholarship),Hanken School of Economics (Helsinki),Finland,Europe,Business / MBA,Full,66,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Check,Partial,Confirm 2027 date,Hanken Premium Scholarship / GBSN Scholarship for students from developing countries (2 awards) - CONFIRMED. The generic '50% or 100% Hanken waiver scheme' could NOT be confirmed on official pages (only a 25% Hanken Honor Waiver for continuing students was found),"Premium/GBSN: full tuition for two academic years (EUR 15,000/yr) + EUR 8,000/yr living allowance ~= EUR 46,000 total over 2 years","EUR 15,000 per year (non-EU/EEA, for study rights starting 1 Aug 2024 or later) - confirmed on official Hanken fees page",~7 January (annual; scholarship application integrated with the Master's application),"PRIOR CYCLE - confirm new date (official cycle showed application 7-21 Jan 2026 for autumn 2026, scholarship integrated with admission; for autumn 2027 expect Jan 2027)","Best-funded business option in Finland IF the developing-country/GBSN eligibility is met (full tuition + EUR 8,000/yr stipend); general business rather than music business, but marketing/management/entrepreneurship tracks support an artist-entrepreneur career. Funding is highly competitive (only 2 awards)",https://www.hanken.fi/en/apply/study-hanken/international-students/tuition-fees-and-scholarships/gbsn-scholarship-students,No,Bachelor's degree; GMAT/GRE may be required depending on degree background (Check); English test (IELTS/TOEFL) - candidate has NOT yet taken IELTS/TOEFL,Public (foundation-based business university),Finland,Full possible (via Hanken Premium / GBSN Scholarship) for a small number of eligible developing-country applicants; otherwise self-pay,"CONFIRMED via GBSN + Hanken pages: Premium/GBSN Scholarship = 2 awards, full tuition for 2 years + EUR 8,000/yr living allowance (~EUR 46,000), for developing-country applicants at GBSN-member schools; scholarship application integrated with admission (7-21 Jan window in the last cycle - relabelled PRIOR CYCLE). Tuition EUR 15,000/yr (from 1 Aug 2024) confirmed on Hanken fees page. NOT fully verified: (1) the '50% or 100% Hanken tuition-waiver scheme' - Hanken's own page shows only a 25% Honor Waiver for continuing students plus the GBSN Premium, so the 50/100% general-waiver claim is unconfirmed; (2) whether Tunisia and SMU MedTech satisfy the GBSN-member-school / listed-developing-country requirement - this is the decisive eligibility gate and must be checked on Hanken's GBSN applicant page."
IMDEA - International Master's Degree in Electroacoustics and Audio,"Le Mans Universite (Institut d'Acoustique Graduate School / LAUM, with ESEO)",France,Europe,Acoustics / Audio Eng,Partial,66,Green,Technical program — an engineering background is the expected profile,English,No,Yes,Verified,Confirm 2027 date,"IMDEA Scholarship funded by the EMV Foundation (Institut de France): EUR 7,000/student/year, up to 6 awarded per year (3 in M1 + 3 in M2), granted for 1 year, M1 awards renewable into M2 under conditions; IA-GS Excellence Scholarship program also exists (amount unverified this pass; EUR 4,000/yr figure not confirmed); EMV-OROSOUND female-applicant scholarship NOT confirmed on current page (Orosound appears only as partner company); Eiffel Excellence Scholarship via institutional nomination remains possible but was not mentioned on the program page - Check","IMDEA = EUR 7,000/yr cash paid by bank transfer in October, 'necessary financial support to pursue studies' (living-cost support, not a full ride); selection on academic excellence (bachelor grade + scientific test grade), motivation, and financial resources",UNVERIFIED (French public-university rates; official 'Course fees' page exists at iags.univ-lemans.fr but was not readable - check for possible differentiated non-EU fees),PRIOR CYCLE: 5 January 2026 (application period 5 Jan - 1 Jun 2026 for both European and non-European applicants; steps 1 and 2 must be done by the close). Campus France countries (incl. Tunisia): preliminary 'Etudes en France' request due MID-DECEMBER for the following academic year - both procedures required,"PRIOR CYCLE - confirm new date (2026 intake closed 1 June 2026; scholarship deadline 1 June 2026, results 19 June 2026; expect similar Jan-Jun window for Sept 2027 plus mid-Dec 2026 Campus France pre-step)","Unique loudspeaker/microphone/audio-systems R&D training in Europe's biggest acoustics lab; low tuition + EUR 7k/yr scholarship makes it one of the most affordable quality options, and the candidate's fluent French helps daily life (teaching is in English); CS background must survive a scientific test with electronics/signal-processing content",https://iags.univ-lemans.fr/en/education-programs/master-s-degrees-in-acoustics/parcours-en-anglais/imdea.html,No,"M1 entry: B.Sc. in electronics or acoustics 'or any related fields' from any French or foreign university (a software-engineering bachelor plausibly fits 'related fields' but the admission jury decides - the scientific test will probe electronics/acoustics/signal-processing knowledge); 4-step admission confirmed: (1) online scientific evaluation test, min 50% to pass, (2) project report (bachelor-project max 20 pp or personal project 3-4 pp on electroacoustics/acoustics/electronics/signal processing), (3) 20-min video interview (scientific + motivation), (4) document platform. English B2 proof required",Public,France,"Partial (EUR 7,000/yr named scholarships on top of low French public tuition)","Official IAGS page blocks WebFetch (403); read in full via one firecrawl scrape of the official IMDEA page. Confirmed: English-only teaching with B2 proof, B.Sc. electronics/acoustics/related entry, exact 4-step admission, prior-cycle window 5 Jan-1 Jun 2026, Campus France mid-Dec pre-deadline, EMV Foundation scholarship EUR 7,000/yr x up to 6 (3 M1 + 3 M2, renewable, under-30, any nationality), results 19 Jun 2026. CORRECTIONS vs. draft: 6 scholarships/yr not 4; EMV-OROSOUND female scholarship and IA-GS EUR 4,000 figure not found on current page (unconfirmed); Eiffel not mentioned on page. Tuition amount still unverified (Course fees subpage not read)."
"International Master's Degree in Electroacoustics and Audio (IMDEA), Institut d'Acoustique Graduate School",Le Mans Universite,France,Europe,Acoustics / Audio Eng,Partial,66,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,"IMDEA scholarship EUR 7,000/student/yr; IA-GS excellence scholarship EUR 4,000/yr (renewable once), open to French or foreign M1/M2 acoustics students; Eiffel also Check","EUR 7,000/yr (IMDEA) or EUR 4,000/yr (IA-GS excellence, paid ~October, renewable once) - selection criteria on IAGS scholarship pages",Check - fees page (course-fees.html) blocked on this pass; prior claim of ~EUR 254/yr + EUR 105 CVEC with same rate for non-EU NOT re-confirmed; program is supported by the EMV Foundation (Institut de France),Early January (2026 cycle: 5 Jan 2026),"PRIOR CYCLE - confirm new date (Sept 2026 intake: 5 Jan - 1 Jun 2026, strict, steps 1-2 done by then; Sept 2027 cycle expected ~Jan-Jun 2027)","Verified as one of the best cost/quality options: English-taught electroacoustics/audio (transducers, real-time signal processing) at Europe's leading acoustics school, EUR 4,000-7,000/yr scholarships exist, and admission is test+project+interview (no audition) - the scientific test and electroacoustics-focused report are the hurdles for a software grad; needs B2 English certificate",https://iags.univ-lemans.fr/en/education-programs/master-s-degrees-in-acoustics/parcours-en-anglais/imdea.html,No,"Verified: M1 entry with BSc in electronics, acoustics or related field from any French or foreign university (software engineering arguably 'related' - confirm with imdeacoustics@univ-lemans.fr); M2 entry needs 1+ yr electroacoustics specialization; 4-step admission: (1) online scientific evaluation test (min 50%), (2) project report (bachelor project max 20pp or personal project 3-4pp on electroacoustics/acoustics/electronics/signal processing), (3) 20-min video interview (scientific + motivation), (4) registration platform; B2 English proof mandatory",Public,France,Partial (low French public tuition expected + program scholarships),"Program page scraped in full (firecrawl; WebFetch 403): English-only teaching, B2 test requirement, 4-step admission, exact 2026 window (5 Jan - 1 Jun 2026), EMV Foundation support, Etudes en France note all confirmed. Scholarship amounts (EUR 7,000 IMDEA / EUR 4,000 IA-GS renewable) confirmed via IAGS scholarship-program pages in search results. Exact tuition amount NOT re-confirmed (fees page blocked) - treat 'EUR ~254 + CVEC, same for non-EU' as unverified until checked."
"Graduate Studies Grants (portable top-up for any audio master's, incl. named awards)",AES Educational Foundation (Audio Engineering Society),International,Other,Acoustics / Audio Eng,Partial,66,Green,Technical program — an engineering background is the expected profile,English,Check,Yes,Verified,Confirm 2027 date,AESEF Graduate Studies Grants (named awards exist per the page but are not listed by name there - Dolby Institute Scholarship not individually confirmed this pass),"Paid directly to the graduate school toward the student's tuition account (confirmed); one renewal possible after completing at least one year (confirmed). Amounts NOT stated on the official page - the USD 2,000-5,000 range is unverified","N/A (grant, not a degree program)",March 15 annually (confirmed - forms accessible at aesef.slideroom.com starting March 15),"PRIOR CYCLE - confirm new date (May 15 annually confirmed; May 15, 2026 closed; awards announced in August; expect Mar 15-May 15, 2027 for 2027/28 study)","Stackable grant paid straight to any accredited graduate school's tuition account, explicitly worldwide - Tunisian software grad eligible once holding/pending a master's offer in audio. Action item: join AES (any membership grade) before March 2027",https://www.aeseducationalfoundation.org/grants,No,Confirmed on official page: completed undergraduate degree from an accredited institution; accepted to or pending application for master's-level or higher graduate studies; active AES membership in any grade; demonstrated commitment to audio engineering or related profession,Private,International (US-registered foundation; usable at European universities),Partial,"Official grants page confirmed: eligibility (worldwide, undergrad degree, AES membership any grade, accepted/pending master's), timeline (opens Mar 15, deadline May 15, announced Aug), payment direct to school, one-time renewal. Grant amounts are NOT published on the page - USD 2,000-5,000 remains an estimate; Dolby Institute Scholarship name not visible on the grants page (named scholarships referenced generically)"
MSc Music and Acoustic Engineering (Laurea Magistrale),Politecnico di Milano,Italy,Europe,Acoustics / Audio Eng,Partial,66,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,PoliMi merit-based international scholarships and DSU 'Diritto allo Studio' right-to-study grants (existence confirmed on fees page; amounts not detailed); Italian MAECI government scholarships - Check current calls and Tunisia eligibility for each,Check - DSU can cover fees + meals + accommodation contribution for low-income students; merit awards are fee reductions/cash (details not on the pages read),"Approx EUR 3,900/yr maximum for non-EU with foreign qualification: first instalment EUR 880.04 + second instalment up to EUR 3,003 (2026/27 values, verified on polimi.it fees page). CORRECTION: non-EU students with foreign qualification and no scholarship pay the MAXIMUM amount regardless of ISEE - the EUR 900 low band applies only to those qualifying for ISEE-based reductions/benefits",PRIOR CYCLE pattern (verified on polimi.it deadlines page for AY 2026-27 Engineering intake): Call 1: 1 Oct - 1 Dec 2025; Call 2: 13 Jan - 26 Feb 2026; for Sept 2027 expect Call 1 to open ~1 Oct 2026 - confirm. Application fee EUR 150 (EUR 50 early bird). CORRECTION: the draft's 'Sem I 6 Jul-26 Aug 2026' window does not match the official deadlines page,"PRIOR CYCLE - confirm new date (AY 2026-27 Engineering: Call 1 closed 1 Dec 2025, Call 2 closed 26 Feb 2026; outcomes end of May - non-EU applicants needing visas must use these early international calls)","Purpose-built CS-meets-audio degree (signal processing, music technologies, computer engineering) at low tuition (~EUR 3.9k/yr max for non-EU) - probably the best affordability-x-fit combination in this slice even without a scholarship",https://www.suono.polimi.it/en/admission/,No,"3-year Bachelor (>=180 credits/CFU) with minimum 30 credits in Maths/Physics and 15 in Computer Science (verified on official admission page) - a software-engineering degree clears the CS requirement easily; Check the maths+physics credit count on the SMU transcript. Admission Committee evaluates CV/qualifications/background/motivation, no test; committee may impose extra prerequisite coursework ('didactic constraints') within the 120-credit program",Public,Italy,Partial (still low absolute tuition ~EUR 3.9k/yr; merit/DSU aid possible),"Confirmed on suono.polimi.it/en/admission: entry credits (30 maths/physics + 15 CS), B2 English, committee evaluation. Confirmed on polimi.it: non-EU-with-foreign-qualification students pay the maximum contribution (EUR 880.04 + up to EUR 3,003 for 2026/27) unless holding a scholarship; AY2026-27 Engineering application calls Oct-Dec 2025 and Jan-Feb 2026 with EUR 50/150 fee. Corrected the tuition band and the wrong application-window dates from the draft. Scholarship amounts (DSU/merit/MAECI) not verified in detail."
Master's including business administration at GKS partner universities (1-year Korean language + 2-year degree; English-taught 'Global Network' master's track has NO Korean language year),Korean universities via Global Korea Scholarship (GKS-Graduate),South Korea,Asia-Pacific,Business / MBA,Full,66,Amber,Tunisian eligibility not confirmed — verify first,English,No,Check,Partial,Confirm 2027 date,Global Korea Scholarship (GKS) - Graduate,"Verified on official portal: airfare, Korean language training costs, tuition, and study/living allowances; exact monthly allowance figure (reported ~1,000,000 KRW) is in the annual guideline PDF - UNVERIFIED here",Covered by scholarship,~February 2027 (verified annual pattern: NIIED announcement + application in February),"PRIOR CYCLE - confirm new date (2026 cycle verified: application 12-25 February 2026, final results June; next relevant cycle Feb-Mar 2027 for the Sept 2027 intake)","Fully funded with no work-experience requirement, and Korea's entertainment/music industry (K-pop production ecosystem) is world-class; the English-taught Global Network master's track avoids the extra Korean year, though the K-industry itself is Korean-language-heavy",https://www.studyinkorea.go.kr/in/plan/scholarship.do,No,"Verified on official portal: bachelor's (or master's for PhD) degree; GPA at least 80% in most recent academic program; under 40 years of age; applicant and both parents non-Korean citizens; embassy track (800 places) or university track (1,200 places) of 2,000 total graduate places","Public and private partner universities (verified: 80+ GKS universities, Type A incl. SNU/Yonsei/Korea/KAIST-tier)",South Korea,Full,"Official studyinkorea.go.kr portal read via firecrawl (WebFetch returned 503): confirmed eligibility (under 40, GPA >=80%, non-Korean citizenship incl. parents), 2,000 graduate quota (800 embassy / 1,200 university track), February application + June results timeline, benefits categories (airfare, language training, tuition, allowances), and existence of English-taught Global Network master's track without the Korean year. 2026 embassy application window (12-25 Feb 2026) confirmed on a Korean embassy MOFA notice - now past. NOT confirmed: exact monthly allowance amount, TOPIK-3 rule, and Tunisia's embassy-track quota for 2027."
MSc Computer Science / Data Science (audio research via LCAV audiovisual lab) + Excellence Fellowship,EPFL Lausanne,Switzerland,Europe,Acoustics / Audio Eng,Partial,66,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Date published,EPFL Master Excellence Fellowships,"CHF 10,000 per semester for two years, renewal for year 2 conditional on 50+ ECTS and 5.0/6 average; guaranteed housing for external candidates - confirmed on official page",Check - EPFL tuition ~CHF 780/semester standard - not verified on fetched pages,Mid-November (Round 1 of EPFL online master application; tick fellowship box and provide requested file),"Fellowship applied via EPFL master application; EPFL master rounds confirmed on official admissions page: Round 1 mid-November to 15 December, Round 2 16 December to 31 March - confirm exact dates for Sept 2027 entry; visa applicants strongly advised to use the December deadline",Software-engineering degree is the natural entry; audio/acoustics exposure via labs rather than curriculum - a funded technical hedge rather than a music-production program.,https://www.epfl.ch/education/master/master-excellence-fellowships/,No,"Strong bachelor in CS/engineering; selection weighs academic record plus research (publications/prizes), entrepreneurship (patents/start-ups) or societal commitment; candidates must check the fellowship box on the master application and submit the requested file (NOT fully automatic)",Public (federal institute of technology),Switzerland,Partial-to-substantial (if fellowship awarded); otherwise None,"Official fellowship page confirmed: 'CHF 10,000 per semester', guaranteed housing, open to external-bachelor candidates, renewal conditions (50 ECTS, 5.0/6). Corrections vs prior data: award runs two years with a year-2 renewal condition (not a flat 4 semesters), and it requires opting in with a requested application file plus holistic selection - not 'awarded automatically'. Application rounds confirmed on EPFL admissions page as mid-Nov-15 Dec and 16 Dec-31 Mar (prior '15 December / 31 March' dates essentially correct). Fellowship-specific deadline dates and EPFL tuition amount not stated on fetched pages."
MS in Music Engineering Technology,University of Miami (Frost School of Music),USA,North America,Acoustics / Audio Eng,Partial,66,Red,Live audition — assumes performance training,English,Yes,Yes,Verified,Confirm 2027 date,"Frost Graduate Tuition Waivers (40-100% of tuition, automatic consideration for all grad applicants) + Graduate Assistantships (tuition waiver + $6,500-$13,000/yr stipend for master's, automatic consideration)","Tuition waiver 40-100% depending on strength of background; assistantship adds $6,500-$13,000/yr stipend on top of waiver; international students explicitly eligible for all awards - can approach full funding for strong candidates",UNVERIFIED base tuition (waiver-dependent; confirm UM graduate tuition rate),UNVERIFIED,"Dec 1 (international applicants & priority); Jan 1 (priority portfolio); Apr 1 (final, all materials); fall entry only - published without year, PRIOR CYCLE - confirm for Sept 2027 (likely Dec 1, 2026)","Best funding-odds option in this batch for a software-engineering grad: CS/engineering background is the preferred entry profile, and 40-100% tuition waivers plus assistantship stipends are automatic-consideration. Electives include Audio Programming and Music Informatics; grads placed at Apple, Spotify, Dolby.",https://musicengineering.frost.miami.edu/degrees/graduate-music-engineering-technology/index.html,No,"BS in electrical engineering, computer engineering, CS, math, physics or other hard science preferred (music degree NOT required); min 3.0 cumulative GPA; 2-year/30-credit program with original research project + manuscript; resume, SOP, 3 recommendation letters, transcripts; one degree program only, fall term only",Private,USA,Partial,"Confirmed on official pages: program (2 yrs, 30 credits, research project + manuscript), CS/engineering BS preferred, 3.0 GPA minimum, deadlines Dec 1/Jan 1/Apr 1 (mmi-applicants page), tuition waivers 40-100% + GA stipends $6,500-13,000 with automatic consideration and explicit international eligibility (admissions.frost.miami.edu graduate awards page), portfolio required. NOT confirmed: base tuition figure, English test cutoffs, application-open date, deadline cycle year."
